id,x,y
19291,263,2535
9197,254,1184
5087,251,918
18760,263,828
16343,260,4523
43999,285,2611
10561,255,1839
34199,274,3090
41587,279,815
27744,269,1845
40265,278,1261
9017,253,4496
21335,264,3878
28967,270,2545
4925,251,325
11298,255,4468
21978,265,1374
38859,277,1881
13388,257,4466
17756,262,1569
31566,272,3263
2202,249,1059
35982,275,3381
4812,250,4325
5847,251,2884
34047,274,2721
26767,268,2569
4637,250,3964
32118,273,343
38449,276,4580
18134,262,2745
5381,251,1303
3400,250,792
2331,249,1289
28233,269,3913
11564,256,1383
22871,265,3636
24079,266,2728
2751,249,2904
9486,254,2057
13661,258,1549
19847,263,3947
26059,267,4108
8063,253,1358
22800,265,3263
3938,250,1878
10878,255,3131
761,248,828
22636,265,2726
25006,267,1153
